name,price
Michael Pierce,120.02
Brittany Welch,634.73
Brenda Gregory,803.98
Michael Taylor,166.16
Barry Wilson,237.15
Mrs. Danielle Padilla DVM,744.39
Kimberly Franklin,54.79
Patrick Guerra,623.86
Anna Farrell,792.33
Annette Miller,800.29
Michael Blake,528.42
Charlene Byrd,440.85
Gregory Sellers,199.47
Chelsea Jones,967.56
Nicholas Leonard,855.8
Wesley Richardson,359.55
Jason Carlson,852.13
Juan Marshall,598.82
Katrina Young,28.21
Robert Cain,913.96
Christopher Lopez,122.51
Chelsea Poole,799.58
Jeffrey Small,950.08
Lisa Williams,209.09
Stephanie James,719.96
Kathleen Garcia,517.03
Patricia White,86.14
Benjamin Dunlap,563.62
Justin Cook MD,735.57
Christie Rodriguez,385.42
Kyle Hall DVM,656.8
Dominic Santiago,693.77
Carl Burton,800.63
Robert Brown,574.33
Julie Brooks,366.95
Aaron Harrison,790.3
Kendra Garcia,41.45
Brian Scott,105.55
Heidi Carrillo MD,897.55
Marcus Rojas,327.82
Rachel Smith,80.35
Sabrina Williams,578.62
Lori Turner,346.01
Bryan Rice,229.02
Joseph Armstrong,545.33
Rachel Clark,544.45
Jonathan Turner,762.64
Raymond Snyder,262.09
Benjamin Carter,374.93
Benjamin Welch,824.68
Megan Holder,581.46
Victoria Washington,368.58
Mary Potter,927.58
Megan Bell,244.95
Antonio Potter,937.5
John Mendoza,614.37
Ryan Sanchez,35.23
Dawn Diaz,9.55
Jason Petersen,314.85
Cheryl Marshall,679.44
Amber Klein,651.45
Stephanie Allen,525.05
Pam Wright,571.02
Barbara Cole,854.45
Pamela Brock,792.51
Latoya Faulkner,943.59
Kimberly Zamora,667.71
Jesus Chung,610.05
Cory Garcia,91.91
William Sims,212.59
Jeff Gonzalez,709.48
Megan Mack,273.24
Kevin Owens,681.82
Chad Gutierrez,914.54
Aaron Johnson MD,328.33
Troy Wilson,942.74
Brenda Wu,202.5
Crystal Williamson,264.43
Jack Nelson,214.23
Leslie Glover,114.1
Mrs. Karen Brown,933.75
Melissa Prince,698.8
Justin Shaw,395.66
Jennifer Shelton,591.12
Kristie Payne,578.85
Anthony Walters,721.89
Daniel Wheeler,419.63
Dawn Kennedy,337.46
Michael Warner,714.38
Michael Marsh,34.28
Mrs. Elizabeth Anderson,821.91
Mary Hoffman,8.08
Jonathan Mclaughlin,331.23
Clarence Mueller,183.68
Brian Alvarez,155.06
Daniel Smith,224.47
Michael Carlson,651.1
Jennifer Walton,739.94
Daniel Thomas,386.39
Tim Mendoza,959.58
Katie Salazar,430.84
Mary Parker,398.41
Lindsay Middleton,540.88
Michelle West,39.83
Ralph Martinez,696.25
Jean Wallace,327.56
David James,472.64
Kathryn Lee,546.59
Cynthia Rogers,503.25
Phillip Anderson,942.77
Robert Joseph,448.59
Ryan Payne,313.99
Samantha Schmidt,145.0
Kevin Cobb,34.49
Anthony Ramos,575.63
Patrick Brock,46.65
Dwayne Walker,609.96
Adam Jackson,772.66
Evelyn Williams,233.38
Crystal Abbott,288.33
Andrea Hardy,267.37
Sandra Acevedo,698.06
Richard Benton,51.17
Cynthia Harris,942.45
Dalton Barker,306.65
Suzanne Bradley,699.59
William Dixon PhD,431.12
Debbie Barnett,314.68
Shannon Williams,335.87
Michael Gonzalez,19.76
Thomas Rowland,724.19
Jamie Mueller,670.09
Justin Johnson,192.63
Patricia Wall,530.28
Erica Hayes,198.75
Karen Reese,497.74
John Brown,152.42
Arthur Wilson,448.22
Joshua Lindsey,620.78
Veronica White,682.52
Robert Lowe,988.16
Rodney Barrera,929.3
Sarah Watson,348.93
Anthony Lynch,626.4
Krystal Nolan,32.89
Dawn Cruz,124.82
Nancy Conway,270.06
Jeanette Strong,137.2
Angel Kennedy,680.87
Norma Payne MD,787.24
Brenda Ferguson,294.32
Stephen Simmons,358.8
Jessica Garcia,346.27
Holly James,882.97
Roger Perez,381.9
Kelli Arnold,162.49
Regina Huang,467.34
Danielle Gutierrez,914.58
Amber Simmons,821.51
Nicholas Larson,685.75
Mary Lynch,551.07
Christopher Martinez,411.22
Scott Silva,270.5
Douglas Arroyo,360.64
Whitney Jackson,937.85
Angela Bennett,557.76
James Bullock,351.02
Steven Clark,568.1
Vincent Murphy,564.97
William Brown,206.98
Robert Rocha,408.53
Jacob Williams,576.92
Larry Clark,593.75
Amber Watts,445.0
Janet Russell,440.81
Vanessa Cuevas,145.73
Joel Simmons,70.37
Dennis Cortez,448.69
Veronica Hale,824.75
Shirley Carter,850.88
Michael Robinson,904.56
Julia Campbell,6.77
Suzanne Jacobson,68.49
David Guzman,836.07
Dr. Beth Washington,184.32
Daisy Burgess,399.72
Vanessa Vega,733.63
Glenn Barnett,625.29
Holly Carter,570.45
John Perez,639.42
Miss Destiny Williams,842.42
Jonathan Mason,3.96
Donald Parsons,818.2
Sarah Whitaker,539.77
Jacqueline Peterson,168.73
Bethany Scott,568.26
Joseph Chandler,668.45
Ashley Smith,559.49
Richard Petty,97.23
Karen Moreno,118.74
Michael Oconnor,476.33
Helen Grant,38.68
Robert Le,520.69
Andrea Harvey,351.99
Anne Smith,163.14
Anthony Lewis,463.77
Mark Clark,306.18
Alicia Morales,704.29
Raymond Mitchell,183.5
Gerald Larson,224.7
Stephanie Sutton,83.84
Emily Thomas,8.55
Willie Espinoza,511.53
James Lynch,759.91
Tiffany Bernard,743.21
Walter Hall,169.34
Patrick Moore,492.12
Karen Lee,873.33
Krista Wyatt,996.98
Gregory Tran,367.67
Ashley Gibson,168.29
Ashley Rogers,65.46
Ronald Miller,651.18
Edward Mahoney,438.94
Stephanie Torres,412.29
Ralph Oliver,58.54
Renee Gilbert,746.83
Rebecca Mckinney,699.99
Kathleen Jones,499.65
Cory Price,106.64
Anthony Brown,432.66
Rebecca Thompson,306.43
Angela Chen,11.39
Bethany Stout,971.86
Charlotte Rivera,144.62
Thomas Baird,11.35
Joshua Davis,585.12
Debra Alvarez,970.36
Danielle Torres,476.52
Mary Brown,914.96
Christine Meyer,123.11
Gregory Berry,695.14
Darius Hodge,410.61
Matthew Wilson,209.04
Stephen Rush,748.99
Lauren Boyd,838.23
Jennifer Holland,917.59
Michelle Hunter,789.53
Jane Richards,715.08
Dustin Swanson,307.71
Nicole Bradford,914.99
Amy Brooks,624.53
Melissa Curry,291.36
Gina Martinez,671.48
Daniel Mitchell,560.63
Charles Roberts,856.78
Dawn Ward,173.52
Joshua Castro,328.4
Jennifer Rogers,766.57
Julia Morris,580.61
Alicia Patton,255.21
Dominique Riley,697.45
Trevor Foster MD,936.28
Brent Norris,301.27
Melissa Howell,591.76
Victoria Aguilar,687.54
Danny Ortiz,652.05
Betty Wood,25.7
Kristy Edwards,736.21
Donald Chapman,632.36
Lindsey Anderson,435.4
Steven Anderson,489.54
Christian Case,805.52
Stacy Mcdonald,735.61
Bryan Johnson,581.31
Jason Garcia,769.71
Lori Black,766.8
Angela Johnson,243.66
Nicole Peterson,813.56
Mary Jenkins,794.35
Tyler Mays,873.83
Ronald Cook,931.14
Kelly Smith,270.12
Dale Franklin,411.92
Micheal Carroll,852.31
Jordan Rowland,461.54
Breanna Soto,662.84
Laura Beasley,367.52
William Barton,202.33
Rachel Sanchez,905.06
Christine Castillo,400.23
Frances Weber,200.89
Anna Park,656.93
Daniel Pearson,839.72
Nancy Taylor,999.31
Andrew Becker,619.66
Daniel Maynard,627.22
Emily Coleman,31.65
Amy Heath,305.01
Marilyn Powers,143.8
Joseph Williams,997.3
Lisa Parker,457.71
Jennifer Bryan,257.77
William Blevins,491.61
Nathan Moss,134.05
Theresa Johnson,731.8
Kim Bell,716.49
Joseph White,22.35
Michele Watson,225.48
Andrew Brady,378.68
Frances Bennett,395.53
Mary Aguilar,147.16
Walter Gibson,191.48
Frank Young,381.64
Cheryl Reed,279.29
David Barnes,482.69
Jeffery Rollins,707.01
Jeffrey Smith,562.42
Kelli Strickland,873.95
Pamela Bell,716.5
Mike Bridges,60.16
Kristina Morrison,957.12
Anthony Martin,857.07
Robert Duncan,283.23
April Brock,520.37
Paul Green,823.53
David Mcclure,417.19
Sarah Contreras,344.58
Kimberly Tate,114.38
Morgan Lee,681.0
Joseph Rivera,823.56
Sarah Martinez,276.05
Cody Turner,503.13
Ellen Ruiz,685.63
David Hart,495.6
Micheal Davis,701.29
Angel Hopkins,280.14
Cody Barry,295.05
Elizabeth Atkinson,699.1
Anna Perkins,582.66
Todd Cox,205.74
Nathan Murphy,24.72
Wesley Anderson,453.84
Lance Hughes,208.04
Eric Baker,82.13
Todd Downs,803.97
Garrett Porter,927.26
Latoya Gray,306.4
Ryan Herring,82.02
Andrea Jones,922.63
Robin Lawson,725.09
Raymond Dean,288.54
Brian Sullivan,279.58
Nancy Johnson,968.41
Timothy Rangel,709.25
Karen Adams,712.0
Michelle Cooper,106.06
Darrell Sparks Jr.,264.01
Julie Davidson,78.34
Tyler Smith,645.31
Cassandra Sampson,996.26
Crystal Robinson,565.41
Ronald Cruz,659.07
Krista Williams,956.07
Shelia Chen,640.66
Dominique Buck,214.5
Ryan Anderson,305.64
Charlene Townsend,356.33
Lisa Wallace,177.44
Janice Owens,703.62
Andrea Cook,422.72
Angelica York,750.75
Christopher Ortiz,303.1
Kimberly Reyes,186.6
Patricia Russell,561.19
Frederick Jones,484.42
Michael Rodriguez,638.35
Sharon Owens,915.84
Lisa Diaz,728.02
Joseph Long,820.0
Juan Mckinney,137.74
Bradley Nelson MD,924.38
Brenda Franco,371.74
Mr. Jason Tran,134.13
Lori Pratt,948.59
Jessica Wilson,610.43
Victoria Contreras,940.59
Dr. Richard Ward,761.99
Jonathan Allen,199.97
Jose Pearson,969.38
Clarence Whitaker,201.5
Samuel Wilson,720.48
Patrick Ibarra,736.96
James Ellison,158.61
Madison Palmer,58.11
Kaylee Townsend,531.48
James Norton,867.37
Jonathan Wilson,184.52
Vickie Ryan,917.78
Juan Hill,907.91
Jessica Clark,126.67
Brianna Paul,833.45
Amanda Schultz,909.57
Luke Carr,412.55
Mitchell Howard,609.53
Jenna Stewart,555.86
Victor Bonilla,54.41
Becky Johnson,404.49
Kelly Fowler,425.79
Joseph Mercer,467.33
Victoria Lam,257.6
Danielle Wheeler,817.93
Henry Reyes,339.83
Diana Wright,853.68
Tammy Gates,516.06
Karen Andrews,498.62
Keith Harrison,817.8
Karen Casey,697.29
Jeffrey Randall,398.7
Renee Shields,127.1
Miguel Andrews,487.52
Maureen Pollard,749.5
Jennifer Simpson,202.67
Diane Olson,908.76
Joshua Bryant,882.97
Tiffany Jenkins,274.44
Jessica Bond,112.41
Michaela Caldwell,517.01
Jeremy Simpson,728.24
Matthew Curtis,473.25
Bradley Watson,750.02
Jamie Benton,788.79
Sandra Murphy,364.45
Monica Cantu,32.12
Teresa Martinez,117.27
Michelle Jones,244.78
Matthew Thomas,537.18
Robert Braun,746.3
Angelica Davidson,360.49
Annette Myers,239.36
Marco Ruiz,357.91
Maria Moreno,932.88
Manuel Thornton,549.92
John Douglas,675.12
Misty Davenport,475.61
Crystal Bernard,503.83
Erica Jordan,395.64
Matthew Smith,559.82
Mathew Swanson,882.94
Patricia Thompson,285.84
Bryan Lopez,503.56
Casey Vasquez,766.49
Keith Adams,988.91
Sarah Cook,3.9
Diana Mcdonald,784.28
Ian Flores,64.32
Nicholas Thomas,566.3
David Russell,456.86
Stacy White,52.25
Maurice Ross,269.65
Aaron Frederick,415.65
Lauren Smith,749.36
Stephanie Novak,44.19
Alexis Crawford,9.24
George Weber,819.85
Sergio Moss MD,807.06
Michelle Jackson,445.26
Anna Fox,86.24
Jennifer Cox,303.13
Justin Perez,111.95
Casey Johnson,263.47
Kimberly Newman PhD,743.21
Julie Terry,869.61
James Galvan,15.94
Gavin Martinez,851.19
Fernando Ramos,617.85
Miss Robin Wang,754.51
George Cannon,727.66
Jodi Fuller,435.55
Vincent Cox,147.74
Andrea Lopez,361.1
Kevin Morris,126.93
Debra Jones,737.36
Tina Haney,280.4
Kathleen Nash,628.91
Rhonda West,940.87
Ashley Rodriguez,272.21
James Navarro,896.46
Samuel Jenkins,534.12
Joseph Thompson,232.99
Kevin Sims,573.69
Adam Johnson,942.82
David Yang,51.08
Gabriela Hicks,584.05
Tammy Gardner,846.01
Amanda Rasmussen,339.22
Robert Greene,30.61
Randy Daniel,399.38
Joshua Cox,217.23
Grace Rose,701.93
Kristen Barnett,32.36
Kirk Adams,881.68
Theresa Giles,487.21
William Woodard,605.39
Anthony Palmer,204.17
Thomas Keith,209.49
Summer Callahan,799.12
Dennis Walker,185.19
Laura Morales,106.48
Jesse Anderson,308.04
James Spence,436.68
Keith Leach,595.96
Jaclyn Cruz,280.93
Caroline Cook,127.03
Edward Snyder,945.59
Mark Hamilton,446.66
James Ramirez,652.58
Eric Williams,563.96
Jackie Jones,725.54
Courtney Leblanc,9.7
Kathleen Hayes,9.8
Melinda Pruitt,591.79
Andrew Marshall,222.31
Danny Martinez,687.73
Mark Wilson,918.78
Christopher Oconnor,562.92
Lisa Pineda,920.47
Jonathan Williams,395.04
Matthew Davis,233.38
Donna Murillo,917.34
Susan Fox,148.82
William Mcguire,257.94
Anna Norman,573.78
Christopher Brown,450.51
Caleb Curry,861.52
Jennifer Aguilar,710.44
Valerie Owens,463.65
Sandra Nash,447.9
Wayne Taylor,57.64
Veronica Kaufman,40.28
Melissa Lee,166.43
Derek James,169.05
Megan Acosta,870.07
Kevin Garcia,309.53
Jesus Jefferson,544.99
Christopher Armstrong,9.76
Christopher Campbell,243.23
Katherine Barnett,130.08
Tiffany Coleman,263.5
Natalie Guzman,304.48
Joyce Schroeder,254.38
Felicia Delgado,264.39
Joe Patrick,190.93
William Benjamin,834.52
Brian Nicholson,108.04
James Thompson,565.97
Kathryn Marshall,368.46
Yvonne Chang,429.65
Jennifer Richards,505.47
Samantha Vaughan,152.61
Alvin Gilmore,134.96
Christina Wilson,48.09
John Berry,789.38
Carrie Green,417.67
Benjamin Peterson,231.99
Kyle Williams,479.65
Nicole Arnold,750.5
Nicholas Richardson,914.33
Jose Johnson,487.36
James Walker,671.37
Ryan Buck,927.18
Veronica Johnson,313.09
John Morton,29.51
Cameron Houston,315.1
Spencer Ramirez,546.75
Kyle Griffin,379.63
Amy Crane,995.15
Ray Thompson,774.75
Kenneth Valentine,818.35
Dr. Steven Miller,973.68
Margaret Martinez,691.84
Grace Gallagher,961.7
Brett Morales,397.85
Kristi Yang,259.6
Peter Jones,282.72
Mr. David Miles,87.3
Brandon Lewis,379.05
Christopher Simmons,697.7
Lawrence Sanders,487.91
Jodi Bowman,748.22
Gary Hernandez,210.9
Courtney Medina,172.53
Brian Rosales,555.7
Alexis Hayes,776.27
Jill Peterson,881.53
Frederick Ball,788.27
Robert Harrison,739.02
Keith Sanders,791.77
Cynthia Navarro,897.23
Eric Hardin,811.35
Taylor Walker,402.92
Audrey Moore,880.06
Mr. Matthew Simmons Jr.,255.37
Jessica Davis,872.96
Brandon Fox,426.44
Jonathan Gonzales,525.03
George Chapman,960.23
Carrie Bell,816.32
Ralph Jarvis,865.91
Lisa Green,213.61
Lisa Contreras,615.5
Christina Walters,959.41
Karen Walker MD,536.41
Richard Martin,751.34
Nicole Johnson,115.2
Kristen Brown,23.37
Dana Nguyen,604.2
Kimberly Mason,724.73
Julia Fitzgerald,670.44
Emily Hale,738.5
Joseph Hobbs,321.87
Michele Davis,180.96
Paul Cooper,874.26
Victoria Hicks,940.36
Jonathan Adkins,956.68
Danny Joseph,106.5
Brian Adams,373.6
Jerry Mccarty,888.99
Wendy Fuller,914.07
Jeffery Webster,374.02
John Ballard,863.72
Jonathan Olson PhD,318.78
Lorraine Brown,333.55
Dr. Tracy Ortega,512.54
Holly Cardenas,308.4
David Johnson,624.12
Mark Park,502.98
Nathan Morales,410.51
Lindsay Cunningham,775.42
Kelly Gray,658.69
Carolyn Perez,161.06
Valerie Banks,759.84
Victoria Hopkins,580.22
Lauren Montgomery,820.01
Richard Thompson,585.12
Erin Hernandez,945.73
Erin Hanna,681.88
Cynthia Williams,34.0
Danielle Patterson,74.57
Nancy Jordan,114.46
Samuel Ross,634.3
Denise Bell,251.01
Amber Martinez,240.88
Jason Clarke,626.97
George White II,803.79
Scott Jackson,648.37
Mark Koch,385.7
Richard Gallagher,10.37
Dustin Jordan,492.43
Nicole Schaefer,941.43
Sherry Davis,786.07
Mary Collins,623.39
Dr. Jillian Lewis,324.92
Matthew Curtis,959.99
Bryan Meyer,362.25
Pamela Garcia,207.56
Edward Anderson,370.95
Andrew Castillo,348.24
Eric Thomas,846.03
Austin Meyer,863.46
Paul Nguyen,493.52
Linda Cardenas,95.88
Gabrielle Smith,152.21
Gail Smith,81.99
Kayla Nelson,950.95
Christopher Perez,677.76
Mr. Oscar Ruiz,131.19
Drew Sanchez,887.57
Caitlin Jackson,491.09
John Adkins MD,481.6
Holly Morales,318.49
Amy Tapia,965.85
Karen Cox,261.02
Emma White,240.8
Charles Hart,167.84
Sherry Haynes,739.56
Tracy Garcia,159.17
Todd Bates,496.12
Deborah Holmes,432.07
Crystal Cannon,680.54
Stephen Peterson,330.55
Kelly Howell,271.02
James Hunter,835.29
Cynthia Hubbard,316.62
Laura Watkins,461.27
Gary Sanders,867.59
Taylor Moyer,406.04
Abigail Patton,321.22
Stephanie Parker,75.11
Roberta Stephens,872.83
Michelle Wright,808.34
Jonathan Williams,612.32
Christopher Nguyen,114.05
Cynthia Scott,650.44
Allen Murphy,308.44
Jeremiah Miller,680.67
Mr. Billy Lucas,867.9
Devin White,81.86
Lindsey Munoz,979.73
Alexandria Escobar,483.0
Reginald Brown,412.75
Christina Noble,734.18
Mathew Smith,900.78
Larry Farmer,583.22
Julia Jones,566.31
Brittney Harris,293.93
Sheena Jones,379.94
Catherine Pratt,974.36
Hailey Perry,774.37
Gavin Li,617.78
Lisa Harmon,144.78
Melissa Allen,378.28
Stephen Grimes,827.58
Jennifer Roberts,311.1
Ricardo Hogan,752.84
John Ryan,300.89
James Thomas,297.74
Michelle Morrow,687.87
Ashley Pitts,140.21
Clayton Miller,646.8
Glenn Cruz,311.76
Jennifer Richardson,408.33
Cody Wilson,619.66
Amanda Bailey,503.46
Ashley Williams,50.63
Adrian Turner,274.28
Donna Brandt,979.25
Sarah Torres,818.5
Stephanie Adams,992.08
Miranda Brooks,710.13
Anne Burton,132.37
Juan Marshall,681.11
Mrs. Emily Clay,976.23
Elizabeth Anderson,799.55
Chris Tran,403.3
Joel Walker,191.53
Paul Skinner,156.84
Angela Warren,419.35
Samantha Schultz,588.56
Andrea Salazar,51.93
Marie Carter,339.77
Brandon Stafford,253.02
Rebecca Lewis,717.16
Michael Downs,753.96
Cindy Brown,770.34
Brittney Smith,862.69
Ms. Lorraine Thompson,610.67
Emily Martin,847.34
Colin Conner,496.59
David Crawford,170.35
Mark Ortega,275.67
Nathan Andersen,357.17
Melissa Harrington,345.93
Julie Richardson,182.6
Kathryn Rose,374.65
Margaret Black DVM,412.33
John Nunez,277.01
Tracy Mccormick,485.03
Allison Holt,869.71
Ashley Harrington,629.34
Heather Cannon,230.95
Amber Pratt,608.66
Terry Howe,414.75
David Martin,782.79
Sarah Bell,965.13
Jeff Johnson,205.57
Brad Green,581.63
Jeremy Garcia,585.62
James King,605.78
Brandon Jones,499.71
Catherine Lawrence,913.13
Jon Atkins,414.4
Jennifer Jackson,627.12
Matthew Hansen,286.96
James Henderson,704.74
Herbert Collins,771.86
Heather Ali,769.25
Jackson Rivera,218.7
Erin Avery,224.25
Melanie Houston,402.87
Jeffrey Maldonado,512.51
Marcus Martinez,68.4
Amber Robertson,662.85
Derek Terry,939.62
Mrs. Jennifer Olson,440.34
Darlene Payne,699.85
Bruce Young,263.6
Jeffrey French,394.41
Andrew Davis,356.71
Stephen Mclean,625.91
Kristine Stone,871.03
Amanda Brown,722.3
Nicole Webster,883.64
Bradley Williams,702.53
Marcus Marshall,182.31
Allison Beasley,883.33
Thomas Lopez,737.57
Ashley Stephens,992.29
Sara Brown,485.91
Gary Sanchez,338.71
Betty Miller,512.82
Ruben Norton,899.24
Jennifer Flores,122.86
Melvin Chambers,472.13
Sarah Matthews,76.24
Dana Haynes,131.16
Henry Davis,728.72
Jamie Anderson,181.61
James Jones,878.64
Roy Vasquez,4.53
Scott Wade,944.49
Michael Burke,159.94
Rhonda Roberts,869.23
Aaron Gardner,320.48
Kristin Benson,822.29
Grace Smith,821.64
Crystal Hawkins,547.04
Molly Mejia,811.56
Michele Taylor,710.55
James Pena,413.02
James Riley,339.01
Stephanie Garcia,964.61
Sarah Holt,905.12
Ashley Miller,322.12
Charles Perez,276.25
Jimmy Wolfe,493.22
Brandy Perry,723.08
Joseph Sanchez,740.62
Robert Stephens,506.56
Tina Cherry,935.19
Tyler Serrano,381.6
Jason Bryant,512.27
Jared Bowers,950.17
Sabrina Ellison,103.04
Heather Fox,61.82
Kelly Mitchell,456.18
Maurice Gonzalez,255.89
Brandi Mason,304.38
William Morales,365.28
Mackenzie Simpson,29.35
Amy Meyer,971.04
Caleb Chase,89.77
Melissa Lin,500.04
Angela Cooper,638.85
Carolyn Gray,605.22
Jacqueline Martinez,9.02
Colton Davenport DVM,266.66
Joshua Gallagher,150.11
Elizabeth Castro,336.71
Cynthia Wade,211.13
Karen Rivers,878.76
Anna Johnson,892.88
Audrey Costa,208.55
Sierra Villa,313.85
Karen Miller MD,333.07
Carolyn Harris,567.97
Jeffrey Owen,986.12
Mary Santos,970.66
Mr. Joshua Moore III,222.96
Nicholas Hudson,85.74
John Bowen,984.87
Frank Guerrero,212.53
Nicole Burton,65.75
Eric Mcmillan,284.9
Dean Turner,199.73
Cynthia Hudson,338.41
Teresa Sellers,859.53
Jennifer James,698.59
Robert Perez,274.16
Emily Murphy,380.32
Melissa Turner,520.05
Daniel Simmons,293.52
Denise Moss,222.81
Jay Miller,511.55
John Mueller,606.04
Angela Walker,667.21
Michael Garcia,726.57
Jessica Mccoy,999.17
Donald Gilmore,770.98
Veronica Coleman,116.77
Dakota Klein,857.79
Joel Robinson,102.06
George Bishop,320.46
Michael Peterson,699.6
Jeff Barron,50.45
Robert James,427.36
Danielle Rios,862.33
Jean Rodriguez,699.1
Lance Gutierrez,282.72
Vincent Ayers,828.27
Rachael Sweeney,324.17
Thomas Wilson,622.8
Kevin Rubio,26.14
Charles Jones,353.26
Angela Little,373.56
Joshua Fletcher,729.1
Cassandra Hicks,849.22
Dawn Rodriguez,643.42
Matthew Jordan,164.97
Christina Porter,153.15
Bryan Myers,119.4
Michael Cook,629.32
Ashley Rodriguez,41.9
Christine Fowler,952.78
Lisa Wallace,60.84
Brian Wilson,443.32
Kevin Thomas,974.25
Justin Alvarez,949.51
Jonathan Holloway,458.87
Noah Smith,949.65
Benjamin Forbes,278.13
Steven Schwartz,634.02
Steven Roberts,453.49
Joseph Adams MD,199.39
Becky Johnson,114.28
Michele Harris,363.44
David Sanchez,166.21
William Caldwell,458.22
Donna Hodge,171.66
David Compton MD,360.73
Jonathan Young,941.64
Rebecca Marquez,264.44
Eric Harvey,683.76
Lisa Mendoza,30.97
Charles Lopez,8.07
Maria Parsons,711.47
Scott Stevens,42.3
Earl Hernandez,796.14
Juan Deleon,863.76
Brian Fields,48.7
Christine Allen,681.16
Robert Ward,646.82
John Cantrell,339.97
Diane Cox,430.97
Jeffery Hill,839.72
Ashley Obrien,292.01
Lee Dixon,197.39
Joseph Campbell,324.71
Jacob Allen,892.25
William Montoya,585.02
Kevin Robinson,690.25
Howard Kelley,36.05
Gregory Perez,675.86
Albert Collins,613.73
John Cox,772.77
David Johnson,234.02
Eduardo Cochran,952.91
David Allen,513.35
Richard Taylor,320.17
Ralph Fox,843.78
Michael Sullivan,168.56
Joshua Huang,570.69
Danielle Robinson,313.03
Erin Mendoza,328.8
Debbie Williams,71.24
Timothy Perry MD,741.11
Rebecca Miller,399.25
Steven Powell,739.02
Dana Adams,729.32
Kimberly Washington,429.25
Shannon Payne,763.39
Mr. Steven Hardy,602.13
Mr. Gabriel Cooper DDS,348.58
Eric Rodriguez,256.11
Brianna Khan,809.27
Anthony Burnett,767.24
Kimberly Burgess,178.4
Joseph Elliott,666.43
Frederick Cruz,196.2
Olivia Peters,455.28
Ashley Clarke MD,495.85
William Young,315.64
Emily Snyder,503.9
Diana Adkins,246.56
Terry Rowland Jr.,30.62
Lisa Parrish,411.83
Cynthia Jones,593.75
Gabriel Wilkerson,233.2
Shelly Fernandez,76.34
Mrs. Lindsay Robertson,518.91
Donald Russell,534.87
Andrew Johnson,893.86
Lauren Rowland,453.38
Kathy Bowman,901.47
Karen Lopez,531.61
Daniel Cruz DVM,324.98
Rebecca Lee,531.51
Meredith Gilbert,588.61
Juan Hughes,47.94
Julie Allen,753.74
Kayla Andrade,513.44
Brian Davis DDS,510.84
Mrs. Diana Mooney,551.55
James Murphy,293.28
Joanna Duncan,654.71
Jeremy Obrien,236.38
Joseph Bright,488.71
Melissa Walker,355.68
Katie Allen,829.12
Daniel Garza,954.77
Jeremiah Madden,150.1
Sharon Wilson,384.11
Kimberly Carroll,275.58
Sabrina Gray,210.4
Kevin Ray,254.63
Eric Garcia,351.77
James Lopez,754.29
Tammy Snyder,382.22
Brandon Garrison,506.87
Nicholas Clark,645.39
Suzanne Andrade,614.65
Russell Patel,816.24
John Roberts,673.07
Melvin Price,559.2
Lauren Hanson,522.73
Kevin Baker,10.97
Michael Smith MD,551.82
Jason Jimenez,749.69
Bradley Wells,418.37
Andrea Moon,167.8
Kayla May,943.83
